"Variable","Variable Number","Topic","Topic Number","Subtopic","Subtopic Number","Survey Years","Availability","Description","Table Name","Type","Edit Flag Variable","Imputation Strategy","Response Codes","Question Text","Instrument Variable Name(s)","Disclosure","Conditions in Universe","User Notes"
"WMHK","4","New Orleans Variables","20","Old unit","4","2009 Metro","PUF","Moved because of Hurricane Katrina","HOUSEHOLD","Character","NA","","X: Moved because of Hurricane Katrina||Blank: Not reported||B: Not applicable","","","","","",
"XBATH","5","New Orleans Variables","20","Old unit","4","2009 Metro","PUF","Number of bathrooms in previous unit","RMOV","Numeric","NA","","0 : 10: 0 to 10||D: Don't know||R: Refused||. : Not reported||B: Not applicable","","","","","",
"XBUILT","6","New Orleans Variables","20","Old unit","4","2009 Metro","PUF","Year previous home built","RMOV","Character","NA","","0: 2000 to 2009||1: 1995 to 1999||2: 1990 to 1994||3: 1985 to 1989||4: 1980 to 1984||5: 1975 to 1979||6: 1970 to 1974||7: 1960 to 1969||8: 1950 to 1959||9: 1940 to 1949||10: 1930 to 1939||11: 1920 to 1929||12: 1919 or earlier||D: Don't know||R: Refused||Blank: Not reported||B: Not applicable","","","","","",
"XHALFB","7","New Orleans Variables","20","Old unit","4","2009 Metro","PUF","Number of half bathrooms in previous unit","RMOV","Numeric","NA","","0 : 10: 0 to 10||D: Don't know||R: Refused||. : Not reported||B: Not applicable","","","","","",
"XNOLA1","8","New Orleans Variables","20","Old unit","4","2009 Metro","PUF","Previous residence in New Orleans","RMOV","Character","NA","","1: Yes||2: No||D: Don't know||Blank: Not reported||B: Not applicable","","","","","",
"XNOLA2","9","New Orleans Variables","20","Old unit","4","2009 Metro","PUF","Previous residence in New Orleans metro","RMOV","Character","NA","","1: Yes||2: No||D: Don't know||Blank: Not reported||B: Not applicable","","","","","",
"PTBANK","1","Public Transportation","21","Access by public transportation","1","2013 National, 2013 Metro","PUF","Access to personal bank by public transportation","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"PTENTMNT","2","Public Transportation","21","Access by public transportation","1","2013 National, 2013 Metro","PUF","Access to entertainment by public transportation","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"PTGROCER","3","Public Transportation","21","Access by public transportation","1","2013 National, 2013 Metro","PUF","Access to grocery store by public transportation","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"PTHEALTH","4","Public Transportation","21","Access by public transportation","1","2013 National, 2013 Metro","PUF","Access to health care facilities by public transportation","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"PTRETAIL","5","Public Transportation","21","Access by public transportation","1","2013 National, 2013 Metro","PUF","Access to retail shopping by public transportation","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"PTSERVIC","6","Public Transportation","21","Access by public transportation","1","2013 National, 2013 Metro","PUF","Access to personal services by public transportation","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"PTDISBUS","1","Public Transportation","21","Access to public transportation","2","2013 National","PUF","Distance to local public bus","HOUSEHOLD","Character","NA","","1: Less than 1/4 mile||2: 1/4 to less than 1/2 mile||3: 1/2 to less than 1 mile||4: 1 mile or more||D: Don't know||R: Refused||B: Not applicable","","","","","",
"PTDISBUS","1","Public Transportation","21","Access to public transportation","2","2013 Metro","PUF","Distance to local public bus","HOUSEHOLD","Character","NA","","1: Less than 1/4 mile||2: 1/4 to less than 1/2 mile||3: 1/2 to less than 1 mile||4: 1 mile or more||D: Don't know||B: Not applicable","","","","","",
"PTDISPUB","2","Public Transportation","21","Access to public transportation","2","2013 National, 2013 Metro","PUF","Distance to closest public transportation stop","HOUSEHOLD","Character","NA","","1: Less than 1/4 mile||2: 1/4 to less than 1/2 mile||3: 1/2 to less than 1 mile||4: 1 mile or more||D: Don't know||R: Refused||B: Not applicable","","","","","",
"PTDISRAIL","3","Public Transportation","21","Access to public transportation","2","2013 National, 2013 Metro","PUF","Distance to commuter rail","HOUSEHOLD","Character","NA","","1: Less than 1/4 mile||2: 1/4 to less than 1/2 mile||3: 1/2 to less than 1 mile||4: 1 mile or more||D: Don't know||B: Not applicable","","","","","",
"PTDISSHUT","4","Public Transportation","21","Access to public transportation","2","2013 National","PUF","Distance to shuttle","HOUSEHOLD","Character","NA","","1: Less than 1/4 mile||2: 1/4 to less than 1/2 mile||3: 1/2 to less than 1 mile||4: 1 mile or more||D: Don't know||R: Refused||B: Not applicable","","","","","",
"PTDISSHUT","4","Public Transportation","21","Access to public transportation","2","2013 Metro","PUF","Distance to shuttle","HOUSEHOLD","Character","NA","","1: Less than 1/4 mile||2: 1/4 to less than 1/2 mile||3: 1/2 to less than 1 mile||4: 1 mile or more||D: Don't know||B: Not applicable","","","","","",
"PTDISSUB","5","Public Transportation","21","Access to public transportation","2","2013 National","PUF","Distance to subway","HOUSEHOLD","Character","NA","","1: Less than 1/4 mile||2: 1/4 to less than 1/2 mile||3: 1/2 to less than 1 mile||4: 1 mile or more||D: Don't know||R: Refused||B: Not applicable","","","","","",
"PTDISSUB","5","Public Transportation","21","Access to public transportation","2","2013 Metro","PUF","Distance to subway","HOUSEHOLD","Character","NA","","1: Less than 1/4 mile||2: 1/4 to less than 1/2 mile||3: 1/2 to less than 1 mile||4: 1 mile or more||D: Don't know||B: Not applicable","","","","","",
"PTGETBUS","6","Public Transportation","21","Access to public transportation","2","2013 National, 2013 Metro","PUF","How do household members get to the local public bus","HOUSEHOLD","Character","NA","","1: Local public bus||2: Subway, elevated train, street car, light rail, or trolley||3: Commuter bus or shuttle van||4: Commuter or inter-city train such as Amtrak||5: Walk||6: Bicycle||7: Drive||8: Have someone else drive||9: Other||D: Don't know||R: Refused||B: Not applicable","","","","","",
"PTGETRAIL","7","Public Transportation","21","Access to public transportation","2","2013 National","PUF","How do household members get to rail","HOUSEHOLD","Character","NA","","1: Local public bus||2: Subway, elevated train, street car, light rail, or trolley||3: Commuter bus or shuttle van||4: Commuter or inter-city train such as Amtrak||5: Walk||6: Bicycle||7: Drive||8: Have someone else drive||9: Other||D: Don't know||B: Not applicable","","","","","",
"PTGETRAIL","7","Public Transportation","21","Access to public transportation","2","2013 Metro","PUF","How do household members get to rail","HOUSEHOLD","Character","NA","","1: Local public bus||2: Subway, elevated train, street car, light rail, or trolley||3: Commuter bus or shuttle van||4: Commuter or inter-city train such as Amtrak||5: Walk||6: Bicycle||7: Drive||8: Have someone else drive||9: Other||B: Not applicable","","","","","",
"PTGETSHUT","8","Public Transportation","21","Access to public transportation","2","2013 National","PUF","How do household members get to shuttle","HOUSEHOLD","Character","NA","","1: Local public bus||2: Subway, elevated train, street car, light rail, or trolley||3: Commuter bus or shuttle van||4: Commuter or inter-city train such as Amtrak||5: Walk||6: Bicycle||7: Drive||8: Have someone else drive||9: Other||R: Refused||B: Not applicable","","","","","",
"PTGETSHUT","8","Public Transportation","21","Access to public transportation","2","2013 Metro","PUF","How do household members get to shuttle","HOUSEHOLD","Character","NA","","1: Local public bus||2: Subway, elevated train, street car, light rail, or trolley||3: Commuter bus or shuttle van||4: Commuter or inter-city train such as Amtrak||5: Walk||6: Bicycle||7: Drive||8: Have someone else drive||9: Other||D: Don't know||B: Not applicable","","","","","",
"PTGETSUB","9","Public Transportation","21","Access to public transportation","2","2013 National","PUF","How do household members get to subway","HOUSEHOLD","Character","NA","","1: Local public bus||2: Subway, elevated train, street car, light rail, or trolley||3: Commuter bus or shuttle van||4: Commuter or inter-city train such as Amtrak||5: Walk||6: Bicycle||7: Drive||8: Have someone else drive||9: Other||D: Don't know||R: Refused||B: Not applicable","","","","","",
"PTGETSUB","9","Public Transportation","21","Access to public transportation","2","2013 Metro","PUF","How do household members get to subway","HOUSEHOLD","Character","NA","","1: Local public bus||2: Subway, elevated train, street car, light rail, or trolley||3: Commuter bus or shuttle van||4: Commuter or inter-city train such as Amtrak||5: Walk||6: Bicycle||7: Drive||8: Have someone else drive||9: Other||D: Don't know||B: Not applicable","","","","","",
"PTCOSTCARM","1","Public Transportation","21","Cost (Public Transportation)","3","2013 National, 2013 Metro","PUF","Monthly household spending on car maintenance","HOUSEHOLD","Numeric","NA","","0 : 9997: $0 to $9,997||9998: $9,998 or more||D: Don't know||R: Refused||B: Not applicable","","","","","",
"PTCOSTCARP","2","Public Transportation","21","Cost (Public Transportation)","3","2013 National, 2013 Metro","PUF","Monthly household spending on car payments","HOUSEHOLD","Numeric","NA","","0 : 9997: $0 to $9,997||9998: $9,998 or more||D: Don't know||R: Refused||B: Not applicable","","","","","",
"PTCOSTGAS","3","Public Transportation","21","Cost (Public Transportation)","3","2013 National, 2013 Metro","PUF","Monthly household spending on gasoline","HOUSEHOLD","Numeric","NA","","0 : 9997: $0 to $9,997||9998: $9,998 or more||D: Don't know||R: Refused||B: Not applicable","","","","","",
"PTCOSTINSU","4","Public Transportation","21","Cost (Public Transportation)","3","2013 National, 2013 Metro","PUF","Monthly household spending on car insurance","HOUSEHOLD","Numeric","NA","","0 : 9997: $0 to $9,997||9998: $9,998 or more||D: Don't know||R: Refused||B: Not applicable","","","","","",
"PTCOSTPARK","5","Public Transportation","21","Cost (Public Transportation)","3","2013 National, 2013 Metro","PUF","Monthly household spending on parking","HOUSEHOLD","Numeric","NA","","0 : 9997: $0 to $9,997||9998: $9,998 or more||D: Don't know||R: Refused||B: Not applicable","","","","","",
"PTCOSTPTR","6","Public Transportation","21","Cost (Public Transportation)","3","2013 National, 2013 Metro","PUF","Monthly household spending on public transportation","HOUSEHOLD","Numeric","NA","","0 : 9997: $0 to $9,997||9998: $9,998 or more||D: Don't know||R: Refused||B: Not applicable","","","","","",
"PTOFTBUS","1","Public Transportation","21","Use","4","2013 National, 2013 Metro","PUF","How often does household member use the local public bus","HOUSEHOLD","Character","NA","","1: Daily||2: 4 to 6 times a week||3: 1 to 3 times a week||4: 3 or more times a month||5: 1 to 2 times a month||6: Less than once a month||D: Don't know||R: Refused||B: Not applicable","","","","","",
"PTOFTRAIL","2","Public Transportation","21","Use","4","2013 National","PUF","How often does household member use rail","HOUSEHOLD","Character","NA","","1: Daily||2: 4 to 6 times a week||3: 1 to 3 times a week||4: 3 or more times a month||5: 1 to 2 times a month||6: Less than once a month||D: Don't know||R: Refused||B: Not applicable","","","","","",
"PTOFTRAIL","2","Public Transportation","21","Use","4","2013 Metro","PUF","How often does household member use rail","HOUSEHOLD","Character","NA","","1: Daily||2: 4 to 6 times a week||3: 1 to 3 times a week||4: 3 or more times a month||5: 1 to 2 times a month||6: Less than once a month||B: Not applicable","","","","","",
"PTOFTSHUT","3","Public Transportation","21","Use","4","2013 National","PUF","How often does household member use shuttle","HOUSEHOLD","Character","NA","","1: Daily||2: 4 to 6 times a week||3: 1 to 3 times a week||4: 3 or more times a month||5: 1 to 2 times a month||6: Less than once a month||D: Don't know||R: Refused||B: Not applicable","","","","","",
"PTOFTSHUT","3","Public Transportation","21","Use","4","2013 Metro","PUF","How often does household member use shuttle","HOUSEHOLD","Character","NA","","1: Daily||2: 4 to 6 times a week||3: 1 to 3 times a week||4: 3 or more times a month||5: 1 to 2 times a month||6: Less than once a month||D: Don't know||B: Not applicable","","","","","",
"PTOFTSUB","4","Public Transportation","21","Use","4","2013 National","PUF","How often does household member use subway","HOUSEHOLD","Character","NA","","1: Daily||2: 4 to 6 times a week||3: 1 to 3 times a week||4: 3 or more times a month||5: 1 to 2 times a month||6: Less than once a month||D: Don't know||R: Refused||B: Not applicable","","","","","",
"PTOFTSUB","4","Public Transportation","21","Use","4","2013 Metro","PUF","How often does household member use subway","HOUSEHOLD","Character","NA","","1: Daily||2: 4 to 6 times a week||3: 1 to 3 times a week||4: 3 or more times a month||5: 1 to 2 times a month||6: Less than once a month||D: Don't know||B: Not applicable","","","","","",
"PTPUBTRN","5","Public Transportation","21","Use","4","2013 National, 2013 Metro","PUF","Household uses public transportation","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"PTUSBUS","6","Public Transportation","21","Use","4","2013 National, 2013 Metro","PUF","Household uses local public bus","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"PTUSCRPL","7","Public Transportation","21","Use","4","2013 National, 2013 Metro","PUF","Household uses carpool","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"PTUSCRSH","8","Public Transportation","21","Use","4","2013 National, 2013 Metro","PUF","Household uses car sharing service","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"PTUSOTR","9","Public Transportation","21","Use","4","2013 National, 2013 Metro","PUF","Household uses other public transportation","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
